content,content_clean,content_preprocessing,polarity_score,polarity
"Mau Bayar ukt tapi harus ngisi email/no.handphone padahal udah keisi semua, gimana ya min? Mohon dibalas secepatnya 😭🙏",mau bayar ukt tapi harus ngisi emailnohandphone padahal udah keisi semua gimana ya min mohon dibalas secepatnya,"['mau', 'bayar', 'ukt', 'ngisi', 'emailnohandphone', 'padahal', 'udah', 'isi', 'semua', 'gimana', 'min', 'mohon', 'balas', 'cepat']",-6,negative
"Kenapasi hrus ada update² segala enakan kaya kemaren ngaksesnya ga repot, skrg masa harus masukan ini dulu ini dulu ribet, orang pengen liat nilai aja susah, tolong deh gausah di update² sesuatu yang udah memudahkan, hal² yg di cari skrg tuh yang ga ngeribetin, ini malah di upgrade ke hal² ga jelas, udah enak enak dulu login cuma masukin nim sama kata sandi malah diubah",kenapasi hrus ada update² segala enakan kaya kemaren ngaksesnya ga repot skrg masa harus masukan ini dulu ini dulu ribet orang pengen liat nilai aja susah tolong deh gausah di update² sesuatu yang udah memudahkan hal² yg di cari skrg tuh yang ga ngeribetin ini malah di upgrade ke hal² ga jelas udah enak enak dulu login cuma masukin nim sama kata sandi malah diubah,"['napas', 'hrus', 'update', 'segala', 'enak', 'kaya', 'kemaren', 'ngaksesnya', 'ga', 'repot', 'skrg', 'masa', 'masuk', 'dulu', 'dulu', 'ribet', 'orang', 'ken', 'liat', 'nilai', 'aja', 'susah', 'deh', 'gausah', 'update', 'udah', 'mudah', 'hal', 'yg', 'cari', 'skrg', 'tuh', 'ga', 'ngeribetin', 'malah', 'upgrade', 'hal', 'ga', 'jelas', 'udah', 'enak', 'enak', 'dulu', 'login', 'cuma', 'masukin', 'nim', 'sama', 'kata', 'sandi', 'malah', 'ubah']",-11,negative
Terima kasih atas fasilitas ini,terima kasih atas fasilitas ini,"['terima', 'kasih', 'atas', 'fasilitas']",-3,negative
Kenapa dowload di iphone ngga bisa sihhh,kenapa dowload di iphone ngga bisa sihhh,"['dowload', 'iphone', 'ngga', 'sihhh']",-2,negative
Masalah kelas hilang sudah terselaikan berkat bantuan admin. Terima Kasih,masalah kelas hilang sudah terselaikan berkat bantuan admin terima kasih,"['masalah', 'kelas', 'hilang', 'selai', 'berkat', 'bantu', 'admin', 'terima', 'kasih']",-5,negative
"Apaan nilai di web kampus sama edlink beda jauh, gak ada ya di web kampus mengulang matkul eh ini nilainya malah anjlok, data nya yang bener dong. Mendingan gak usah pake aplikasi ini gak bener datanya, bikin emosi aja liatnya",apaan nilai di web kampus sama edlink beda jauh gak ada ya di web kampus mengulang matkul eh ini nilainya malah anjlok data nya yang bener dong mendingan gak usah pake aplikasi ini gak bener datanya bikin emosi aja liatnya,"['apa', 'nilai', 'web', 'kampus', 'sama', 'edlink', 'beda', 'jauh', 'gak', 'web', 'kampus', 'ulang', 'matkul', 'eh', 'nilai', 'malah', 'anjlok', 'data', 'nya', 'bener', 'dong', 'mending', 'gak', 'usah', 'pake', 'aplikasi', 'gak', 'bener', 'data', 'bikin', 'emosi', 'aja', 'liat']",-11,negative
Halo kak tolong untuk developer nya agar memudah download file materi dan tugas yg di bagikan oleh dosen dengan menaruh tombol unduh dan langsung mengunduh di aplikasi tanpa menggunakan pihak ketiga🙏,halo kak tolong untuk developer nya agar memudah download file materi dan tugas yg di bagikan oleh dosen dengan menaruh tombol unduh dan langsung mengunduh di aplikasi tanpa menggunakan pihak ketiga,"['halo', 'kak', 'developer', 'nya', 'mudah', 'download', 'file', 'materi', 'tugas', 'yg', 'bagi', 'dosen', 'taruh', 'tombol', 'unduh', 'langsung', 'unduh', 'aplikasi', 'guna', 'pihak', 'tiga']",2,positive
"Edlink taekkkk, gabisa d akses d web",edlink taekkkk gabisa d akses d web,"['edlink', 'taekkkk', 'gabisa', 'd', 'akses', 'd', 'web']",2,positive
login ajjj susah,login ajjj susah,"['login', 'ajjj', 'susah']",-3,negative
"Ini matakuliah saya hilang hilang tak betul lah, kalo di lulusin nggak apa juga ni tugas saya numpuk nggak bisa ngirim tugas, kacau lah",ini matakuliah saya hilang hilang tak betul lah kalo di lulusin nggak apa juga ni tugas saya numpuk nggak bisa ngirim tugas kacau lah,"['matakuliah', 'hilang', 'hilang', 'tak', 'betul', 'lah', 'kalo', 'lulusin', 'apa', 'ni', 'tugas', 'numpuk', 'ngirim', 'tugas', 'kacau', 'lah']",-12,negative
tidak ada kejelasan untuk pembayaran dengan sevima pay,tidak ada kejelasan untuk pembayaran dengan sevima pay,"['jelas', 'bayar', 'sevima', 'pay']",-4,negative
Mantap,mantap,['mantap'],5,positive
"Apk Gk bisa dibuka padahal buka youtube,ig dll bisa, saya jadi sering telat kirim tugas dan masuk kuliah online",apk gk bisa dibuka padahal buka youtubeig dll bisa saya jadi sering telat kirim tugas dan masuk kuliah online,"['apk', 'gk', 'buka', 'padahal', 'buka', 'youtubeig', 'jadi', 'sering', 'telat', 'kirim', 'tugas', 'masuk', 'kuliah', 'online']",-6,negative
"Udah ga bisa scan, sekarang malah error lagi. Woi kenapa malah jadwal kuliah saya ke apus dari kalender",udah ga bisa scan sekarang malah error lagi woi kenapa malah jadwal kuliah saya ke apus dari kalender,"['udah', 'ga', 'scan', 'sekarang', 'malah', 'error', 'woi', 'malah', 'jadwal', 'kuliah', 'apus', 'kalender']",-6,negative
Disuruh buka di aplikasi padahal udah di aplikasi 😭😭 lihat jawaban quiz,disuruh buka di aplikasi padahal udah di aplikasi  lihat jawaban quiz,"['suruh', 'buka', 'aplikasi', 'padahal', 'udah', 'aplikasi', 'lihat', 'jawab', 'quiz']",-9,negative
Ini kuis gabisa di klik gimana malah diarahkan ke aplikasi kan udah download aplikasi nya udah update juga ngapa malah diarahin keaplikasi lagi ujung ujungnya gabisa,ini kuis gabisa di klik gimana malah diarahkan ke aplikasi kan udah download aplikasi nya udah update juga ngapa malah diarahin keaplikasi lagi ujung ujungnya gabisa,"['kuis', 'gabisa', 'klik', 'gimana', 'malah', 'arah', 'aplikasi', 'kan', 'udah', 'download', 'aplikasi', 'nya', 'udah', 'update', 'ngapa', 'malah', 'diarahin', 'aplikasi', 'ujung', 'ujung', 'gabisa']",-21,negative
plis dong lagian quiz ini gw gabisa akses quiz nya,plis dong lagian quiz ini gw gabisa akses quiz nya,"['plis', 'dong', 'lagi', 'quiz', 'gw', 'gabisa', 'akses', 'quiz', 'nya']",-1,negative
Tiba-tiba ga ada angin ga ada ujan akun anda terblokir padahal kemaren² baik² aja kok skrg pas gue mau buka kkaga bisa,tibatiba ga ada angin ga ada ujan akun anda terblokir padahal kemaren² baik² aja kok skrg pas gue mau buka kkaga bisa,"['tibatiba', 'ga', 'angin', 'ga', 'ujan', 'akun', 'blokir', 'padahal', 'kemaren', 'baik', 'aja', 'kok', 'skrg', 'pas', 'gue', 'mau', 'buka', 'kkaga']",7,positive
"Kenapa ada update di hari Minggu? Saya jadi tidak bisa login karena ada tulisan silakan login melalui SSO, tapi diklik tidak ada respons. Sudah dicoba melalui laptop, handphone, komputer sama saja. Sekarang bagaimana ini saya mau mengumpulkan tugas, hari ini deadline. Tahu tidak hal mendasar dari update, jika tidak ada yang rusak mengapa diperbarui? Tim Sevima, ayolah jika ada update dicek dahulu dengan benar baru diterapkan, buat aplikasi kok banyak error begini.",kenapa ada update di hari minggu saya jadi tidak bisa login karena ada tulisan silakan login melalui sso tapi diklik tidak ada respons sudah dicoba melalui laptop handphone komputer sama saja sekarang bagaimana ini saya mau mengumpulkan tugas hari ini deadline tahu tidak hal mendasar dari update jika tidak ada yang rusak mengapa diperbarui tim sevima ayolah jika ada update dicek dahulu dengan benar baru diterapkan buat aplikasi kok banyak error begini,"['update', 'hari', 'minggu', 'jadi', 'login', 'tulis', 'sila', 'login', 'lalu', 'sso', 'klik', 'respons', 'coba', 'lalu', 'laptop', 'handphone', 'komputer', 'sama', 'sekarang', 'bagaimana', 'mau', 'kumpul', 'tugas', 'hari', 'deadline', 'tahu', 'dasar', 'update', 'rusak', 'baru', 'tim', 'sevima', 'ayo', 'update', 'cek', 'benar', 'baru', 'terap', 'buat', 'aplikasi', 'kok', 'banyak', 'error', 'begini']",-4,negative
"Lumayan membantu, hanya saja setelah tugas diserahkan tidak ada arsipnya",lumayan membantu hanya saja setelah tugas diserahkan tidak ada arsipnya,"['lumayan', 'bantu', 'tugas', 'serah', 'arsip']",-9,negative
Dl bagus..tp skrng sudah gsering bermasalah...yg loading nya lama banget,dl bagustp skrng sudah gsering bermasalahyg loading nya lama banget,"['dl', 'bagustp', 'skrng', 'gsering', 'bermasalahyg', 'loading', 'nya', 'lama', 'banget']",-3,negative
GOOD APP... TX...,good app tx,"['good', 'app', 'tx']",5,positive
"tambahkan fitur scan barcode dari galeri, jangan menyusahkan user",tambahkan fitur scan barcode dari galeri jangan menyusahkan user,"['tambah', 'fitur', 'scan', 'barcode', 'galeri', 'jangan', 'susah', 'user']",-3,negative
"Yeee scan barcode nya udah bisa dong. Buat yang lain kalo scan barcode nya blur, coba ubah ukuran font nya jadi paling kecil, nanti scan barcode nya pasti jernih lagi. Sukses selaluu, ini aplikasi membantu bgt buat perkuliahan🤍",yeee scan barcode nya udah bisa dong buat yang lain kalo scan barcode nya blur coba ubah ukuran font nya jadi paling kecil nanti scan barcode nya pasti jernih lagi sukses selaluu ini aplikasi membantu bgt buat perkuliahan🤍,"['yeee', 'scan', 'barcode', 'nya', 'udah', 'dong', 'buat', 'kalo', 'scan', 'barcode', 'nya', 'blur', 'coba', 'ubah', 'ukur', 'font', 'nya', 'jadi', 'paling', 'kecil', 'scan', 'barcode', 'nya', 'jernih', 'sukses', 'selaluu', 'aplikasi', 'bantu', 'bgt', 'buat', 'kuliah']",-1,negative
sangat baik,sangat baik,"['sangat', 'baik']",0,negative
"LEMOT ASW NGESTALK DI LOGO TERUS LOADING LAMA WIFI KENCENG TETEO GA NGARUH , NGIRIM FILE LAMA BANGET, LOADINGNYA LAMA ANJG NI APK TEKAT NGUMPULIN TUGAS",lemot asw ngestalk di logo terus loading lama wifi kenceng teteo ga ngaruh  ngirim file lama banget loadingnya lama anjg ni apk tekat ngumpulin tugas,"['lot', 'asw', 'ngestalk', 'logo', 'terus', 'loading', 'lama', 'wifi', 'kenceng', 'teteo', 'ga', 'ngaruh', 'ngirim', 'file', 'lama', 'banget', 'loadingnya', 'lama', 'anjg', 'ni', 'apk', 'tekat', 'ngumpulin', 'tugas']",-28,negative
Ok,ok,[],0,negative
Ngebug parah baru Download. Loading lama pencarian universitas,ngebug parah baru download loading lama pencarian universitas,"['ngebug', 'parah', 'baru', 'download', 'loading', 'lama', 'cari', 'universitas']",-12,negative
Parah edlink sekarang scan absen nge-blur tolong cepat diperbaiki🙏,parah edlink sekarang scan absen ngeblur tolong cepat diperbaiki,"['parah', 'edlink', 'sekarang', 'scan', 'absen', 'ngeblur', 'cepat', 'baik']",-6,negative
Lemot,lemot,['lot'],-5,negative
"teruntuk developer edlink saya tidak bisa presensi barcode di karenakan kamera dari edlink buram dan tidak bisa nge scan barcode, padahal saya coba di kamera hp bawaan jernih. mungkin ada bug di aplikasi edlink, hp saya oppo a54 mohon perbaiki secepatnya karena sangat mengganggu aktivitas perkuliahan saya. mohon segera di perbaiki secepatnya, terimakasih.",teruntuk developer edlink saya tidak bisa presensi barcode di karenakan kamera dari edlink buram dan tidak bisa nge scan barcode padahal saya coba di kamera hp bawaan jernih mungkin ada bug di aplikasi edlink hp saya oppo a mohon perbaiki secepatnya karena sangat mengganggu aktivitas perkuliahan saya mohon segera di perbaiki secepatnya terimakasih,"['untuk', 'developer', 'edlink', 'presensi', 'barcode', 'karena', 'kamera', 'edlink', 'buram', 'nge', 'scan', 'barcode', 'padahal', 'coba', 'kamera', 'hp', 'bawa', 'jernih', 'mungkin', 'bug', 'aplikasi', 'edlink', 'hp', 'oppo', 'a', 'mohon', 'baik', 'cepat', 'sangat', 'ganggu', 'aktivitas', 'kuliah', 'mohon', 'segera', 'baik', 'cepat', 'terimakasih']",-6,negative
Edlink eror loading terus kek mana buat tugas,edlink eror loading terus kek mana buat tugas,"['edlink', 'eror', 'loading', 'terus', 'kek', 'mana', 'buat', 'tugas']",-4,negative
Ini mau update apa gimna? Lemot bngt! Tugas numpuk woyyyy tolong laah,ini mau update apa gimna lemot bngt tugas numpuk woyyyy tolong laah,"['mau', 'update', 'apa', 'gimna', 'lot', 'bngt', 'tugas', 'numpuk', 'woyyyy', 'laah']",-8,negative
"banyak banget bug, ni aplikasi padahal dipake sm buanyak banget universitas loh, secepatnya lah di perbaiki bug itu",banyak banget bug ni aplikasi padahal dipake sm buanyak banget universitas loh secepatnya lah di perbaiki bug itu,"['banyak', 'banget', 'bug', 'ni', 'aplikasi', 'padahal', 'dipake', 'sm', 'buanyak', 'banget', 'universitas', 'loh', 'cepat', 'lah', 'baik', 'bug']",0,negative
"Gara"" muser mulu 15 soal baruku kerjakan 2 soal kalo gini gmana bro?",gara muser mulu  soal baruku kerjakan  soal kalo gini gmana bro,"['gara', 'muser', 'mulu', 'soal', 'baru', 'kerja', 'soal', 'kalo', 'gin', 'gmana', 'bro']",-3,negative
"Di perbaikilah dikit² server eror kocak amat, orang mau ngumpul tugas juga ribet",di perbaikilah dikit² server eror kocak amat orang mau ngumpul tugas juga ribet,"['baik', 'dikit', 'server', 'eror', 'kocak', 'orang', 'mau', 'ngumpul', 'tugas', 'ribet']",-9,negative
Perbaiki masalah sinyal lah. Mau ngumpul tugas susah amat,perbaiki masalah sinyal lah mau ngumpul tugas susah amat,"['baik', 'masalah', 'sinyal', 'lah', 'mau', 'ngumpul', 'tugas', 'susah']",-2,negative
Ngelag trus aneh,ngelag trus aneh,"['ngelag', 'trus', 'aneh']",0,negative
"Semakin di update, scan kamera jadi kabus, jadi nggak guna ni aplikasi",semakin di update scan kamera jadi kabus jadi nggak guna ni aplikasi,"['makin', 'update', 'scan', 'kamera', 'jadi', 'kabus', 'jadi', 'ni', 'aplikasi']",-4,negative
"kalau sy kamera kode QR sy yang buram padahal sy cek kamera pake fhoto hasilnya bagus, nah pas mau absen lewat kode QR malah kameranya buram, gimana nih solusinya",kalau sy kamera kode qr sy yang buram padahal sy cek kamera pake fhoto hasilnya bagus nah pas mau absen lewat kode qr malah kameranya buram gimana nih solusinya,"['kalau', 'sy', 'kamera', 'kode', 'qr', 'sy', 'buram', 'padahal', 'sy', 'cek', 'kamera', 'pake', 'fhoto', 'hasil', 'bagus', 'nah', 'pas', 'mau', 'absen', 'lewat', 'kode', 'qr', 'malah', 'kamera', 'buram', 'gimana', 'nih', 'solusi']",-12,negative
Cukup membantu dalam sistem perkuliahan online,cukup membantu dalam sistem perkuliahan online,"['cukup', 'bantu', 'sistem', 'kuliah', 'online']",-11,negative
"Kenapa di saya aplikasi ini keseringan nge bug? Dang nge bug nya selalu di saat saya ada kelas ataupun mau menyetor kan tugas, tolong segera di perbaiki kak Terimakasih",kenapa di saya aplikasi ini keseringan nge bug dang nge bug nya selalu di saat saya ada kelas ataupun mau menyetor kan tugas tolong segera di perbaiki kak terimakasih,"['aplikasi', 'sering', 'nge', 'bug', 'dang', 'nge', 'bug', 'nya', 'selalu', 'kelas', 'atau', 'mau', 'setor', 'kan', 'tugas', 'segera', 'baik', 'kak', 'terimakasih']",6,positive
"Kenapa ketika presensi QR kamera nya buram ya min? sehingga saya nggak bisa isi absen, padahal kamera asli saya jernih lohh😢",kenapa ketika presensi qr kamera nya buram ya min sehingga saya nggak bisa isi absen padahal kamera asli saya jernih lohh,"['presensi', 'qr', 'kamera', 'nya', 'buram', 'min', 'isi', 'absen', 'padahal', 'kamera', 'asli', 'jernih', 'lohh']",-3,negative
"Kadang membantu kadang bikin jengkel. Tapi lebih banyak bikin jengkelnya. Ambil contoh aja pas ada tugas, yang di tambah dateline mepet dan harus kirim lewat edlink, masak pas mau masuk malah terjadi kesalah pada server. Udah aku lakuin segala cara masih aja kayak gitu. Alhasil bukanya membantu malah datelin terlewat dan gakbisa di kumpulin. Di mohon untuk di perbaiki lagi. Jangan cuman update terus, tapi gak ada perkembangan yang signifikan",kadang membantu kadang bikin jengkel tapi lebih banyak bikin jengkelnya ambil contoh aja pas ada tugas yang di tambah dateline mepet dan harus kirim lewat edlink masak pas mau masuk malah terjadi kesalah pada server udah aku lakuin segala cara masih aja kayak gitu alhasil bukanya membantu malah datelin terlewat dan gakbisa di kumpulin di mohon untuk di perbaiki lagi jangan cuman update terus tapi gak ada perkembangan yang signifikan,"['kadang', 'bantu', 'kadang', 'bikin', 'jengkel', 'lebih', 'banyak', 'bikin', 'jengkel', 'ambil', 'contoh', 'aja', 'pas', 'tugas', 'tambah', 'dateline', 'mepet', 'kirim', 'lewat', 'edlink', 'masak', 'pas', 'mau', 'masuk', 'malah', 'jadi', 'salah', 'server', 'udah', 'aku', 'lakuin', 'segala', 'cara', 'aja', 'kayak', 'gitu', 'alhasil', 'buka', 'bantu', 'malah', 'datelin', 'lewat', 'gakbisa', 'kumpulin', 'mohon', 'baik', 'jangan', 'cuman', 'update', 'terus', 'gak', 'kembang', 'signifikan']",-6,negative
Muter teruuss,muter teruuss,"['muter', 'teruuss']",0,negative
"Admin kenapa Tidak bisa absen menggunakan barcode di edlink, menggunakan akun ku, biasa bisa tapi kali ini tidak bisa lagi, mohon solusinya adamin",admin kenapa tidak bisa absen menggunakan barcode di edlink menggunakan akun ku biasa bisa tapi kali ini tidak bisa lagi mohon solusinya adamin,"['admin', 'absen', 'guna', 'barcode', 'edlink', 'guna', 'akun', 'ku', 'biasa', 'kali', 'mohon', 'solusi', 'adamin']",0,negative
Sudah bisa kak alhamdulillah,sudah bisa kak alhamdulillah,"['kak', 'alhamdulillah']",5,positive
"Absen perlu pakai 2 device ? Ntah gw yg gk tau cara absen cuma pakai 1 device aja atau emng aplikasi ini emng msh banyak yg cacat, masa untuk absensi perlu pakai 2 device",absen perlu pakai  device  ntah gw yg gk tau cara absen cuma pakai  device aja atau emng aplikasi ini emng msh banyak yg cacat masa untuk absensi perlu pakai  device,"['absen', 'perlu', 'pakai', 'device', 'ntah', 'gw', 'yg', 'gk', 'tau', 'cara', 'absen', 'cuma', 'pakai', 'device', 'aja', 'emng', 'aplikasi', 'emng', 'msh', 'banyak', 'yg', 'cacat', 'masa', 'absensi', 'perlu', 'pakai', 'device']",-17,negative
Memudahhkan mahasiswa dalam akses studinya,memudahhkan mahasiswa dalam akses studinya,"['memudahhkan', 'mahasiswa', 'akses', 'studi']",6,positive
Camera nya buram setelan update,camera nya buram setelan update,"['camera', 'nya', 'buram', 'setel', 'update']",-3,negative
Notivikasi sering tidak muncul sehingga sering ketinggalan informasi. Tolong ditingkatkan kembali 🙏🏻,notivikasi sering tidak muncul sehingga sering ketinggalan informasi tolong ditingkatkan kembali,"['notivikasi', 'sering', 'muncul', 'sering', 'tinggal', 'informasi', 'tingkat']",2,positive
Bug sendiri anehhh,bug sendiri anehhh,"['bug', 'sendiri', 'anehhh']",-3,negative
"apk nya sngt membantu, tapi kdng suka eror",apk nya sngt membantu tapi kdng suka eror,"['apk', 'nya', 'sngt', 'bantu', 'kdng', 'suka', 'eror']",-3,negative
Kenapa setelah saya update ke versi terbaru malah utk absensi di diskusi tdk bisa ? Padahal sebelumnya bisa. Tlg di tanggapi ya. Thanks,kenapa setelah saya update ke versi terbaru malah utk absensi di diskusi tdk bisa  padahal sebelumnya bisa tlg di tanggapi ya thanks,"['update', 'versi', 'baru', 'malah', 'utk', 'absensi', 'diskusi', 'tdk', 'padahal', 'belum', 'tlg', 'tanggap', 'thanks']",9,positive
Out,out,['out'],0,negative
"Untuk developer membuat sebuah sistem memang sulit. ini adalah sebuah pencapaian yang luar biasa, Terimakasih Developer telah menangapi Masukan dan melakukan beberapa pembaruan pada sistem seperti sekarang dapat melihat file tugas yang akan di kirim. 🙏 Terimakasih ❤️🤝",untuk developer membuat sebuah sistem memang sulit ini adalah sebuah pencapaian yang luar biasa terimakasih developer telah menangapi masukan dan melakukan beberapa pembaruan pada sistem seperti sekarang dapat melihat file tugas yang akan di kirim  terimakasih ❤️🤝,"['developer', 'buat', 'buah', 'sistem', 'memang', 'sulit', 'buah', 'capai', 'luar', 'biasa', 'terimakasih', 'developer', 'tangap', 'masuk', 'laku', 'beberapa', 'baru', 'sistem', 'sekarang', 'lihat', 'file', 'tugas', 'kirim', 'terimakasih', '']",1,positive
